                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76034,                  2.032,                 1.0271,                0.53886,                0.62998,                0.66283,                0.48885,                0.87814,                 2.0262,                 1.1037,             0.00051677,             0.00051677,             0.00051677
                      2,                0.88009,                 1.4099,                 1.0607,                0.77598,                0.65366,                0.78006,                0.53734,                0.92213,                 2.0495,                 1.0825,             0.00094624,             0.00094624,             0.00094624
                      3,                0.95804,                 1.3851,                 1.1421,                0.60862,                    0.5,                0.62762,                0.38967,                 1.2456,                 1.9036,                 1.3121,              0.0012701,              0.0012701,              0.0012701
                      4,                 1.0437,                 1.3494,                 1.1702,                0.24473,                0.47222,                0.32264,                0.15531,                 1.8525,                 3.0497,                 1.8617,              0.0011719,              0.0011719,              0.0011719
                      5,                0.91617,                 1.2367,                 1.0912,                0.45748,                0.33194,                0.32672,                0.16281,                 2.0837,                 2.9074,                  2.164,              0.0011719,              0.0011719,              0.0011719
                      6,                0.91133,                  1.179,                 1.0701,                0.69693,                   0.75,                0.73961,                0.49694,                 1.0192,                 1.5662,                 1.2146,              0.0010069,              0.0010069,              0.0010069
                      7,                0.83735,                 1.0606,                 1.0352,                0.90529,                0.85522,                0.92191,                0.72737,                0.76461,                 1.0771,                0.99271,             0.00084184,             0.00084184,             0.00084184
                      8,                 0.7909,                0.96485,                  1.001,                0.82755,                0.88332,                0.90656,                 0.6768,                0.75298,                 1.0515,                0.98159,              0.0006768,              0.0006768,              0.0006768
                      9,                0.74871,                0.88531,                 0.9862,                0.91666,                0.89763,                0.96312,                0.80308,                0.61182,                0.91295,                 0.9077,             0.00051177,             0.00051177,             0.00051177
                     10,                0.68589,                0.81677,                0.95523,                0.98077,                0.92961,                0.96533,                0.78001,                0.62403,                0.84805,                0.93099,             0.00034674,             0.00034674,             0.00034674
